 Name,Latitude,Longitude,trips
Broadway & W 41 St,40.755135,-73.98658,18806
W 52 St & 6 Ave,40.76132983,-73.97982001,18800
King St & Varick St,40.72789701,-74.00536269,18779
3 St & Prospect Park West,40.668132,-73.97363831,18708
E 89 St & York Ave,40.7779453,-73.946041,18679
E 44 St & 2 Ave,40.75118387,-73.97138715,18624
Lawrence St & Willoughby St,40.69236178,-73.98631746,18621
E 16 St & 5 Ave,40.737261,-73.992389,18608
St Marks Pl & 1 Ave,40.727791,-73.985649,18606
Pearl St & Hanover Square,40.7047177,-74.00926027,18601
E 58 St & 3 Ave,40.760957,-73.967244,18593
5 Ave & E 103 St,40.7922553,-73.95249933,18592
6 Ave & Canal St,40.72243797,-74.00566443,18499
Parade Pl & Crooke Ave,40.651847,-73.965248,18493
Court St & State St,40.6902375,-73.99203074,18487
Allen St & Hester St,40.716058,-73.991907,18477
Cathedral Pkwy & Broadway,40.804213,-73.96699104,18467
Broadway & W 29 St,40.7462,-73.988557,18455
W 10 St & Washington St,40.73342399,-74.00851496,18427
2 Ave & E 55 St,40.75792021,-73.96638215,18419
Riverside Blvd & W 67 St,40.777507,-73.988885,18306
E 23 St & 1 Ave,40.736502,-73.978094,18299
W 20 St & 8 Ave,40.743453,-74.00004,18191
W 116 St & Broadway,40.8082,-73.9641,18143
5 Ave & E 93 St,40.785785,-73.957481,18111
W 47 St & 10 Ave,40.762698,-73.993012,18046
Grand Army Plaza & Plaza St West,40.6729679,-73.97087984,18029
Riverside Dr & W 82 St,40.78720869,-73.98128127,17996
W 37 St & 10 Ave,40.756603,-73.9979,17980
Stagg St & Union Ave,40.70877084,-73.95095259,17941
Spruce St & Nassau St,40.71146364,-74.00552427,17939
W 25 St & 6 Ave,40.743954,-73.991448,17870
Kingsland Ave & Nassau Ave,40.72577,-73.94173,17830
E 2 St & Avenue A,40.723077,-73.985836,17751
W 15 St & 7 Ave,40.739355,-73.999317,17717
W 70 St & Amsterdam Ave,40.77748,-73.982885,17692
1 Ave & E 44 St,40.75001986,-73.96905301,17647
E 33 St & 5 Ave,40.747659,-73.984907,17646
E 39 St & Lexington Ave,40.749498,-73.977292,17638
5 Ave & E 78 St,40.776321,-73.964273,17618
W 54 St & 9 Ave,40.765849,-73.986905,17588
Vernon Blvd & 50 Ave,40.74232744,-73.95411749,17550
Emerson Pl & Myrtle Ave,40.69363137,-73.96223558,17529
Sterling Pl & Bedford Ave,40.672695,-73.954131,17521
E 77 St & 3 Ave,40.77314236,-73.95856158,17462
Atlantic Ave & Fort Greene Pl,40.68382604,-73.97632328,17448
E 5 St & Avenue C,40.72299208,-73.97995466,17431
Scholes St & Manhattan Ave,40.70870368,-73.9448625,17427
DeKalb Ave & Vanderbilt Ave,40.68940747,-73.96885458,17401
Riverside Dr & W 104 St,40.8013434,-73.97114574,17364
5 Ave & E 29 St,40.745167,-73.98683,17364
Market St & Henry St,40.71310702,-73.99446353,17308
Bergen St & Vanderbilt Ave,40.6794388,-73.9680438,17278
Willoughby Ave & Hall St,40.69196035,-73.96536851,17072
Lenox Ave & W 117 St,40.8025566,-73.9490782,17045
Monroe St & Tompkins Ave,40.686203,-73.944694,17037
Vesey Pl & River Terrace,40.715337,-74.016583,17025
Kent Ave & S 11 St,40.70764494,-73.96841526,17018
2 Ave & E 29 St,40.741723,-73.978092,17000
E 4 St & 2 Ave,40.72628,-73.98978,16976
Grand Ave & Bergen St,40.678045,-73.962408,16947
Central Park W & W 97 St,40.792495,-73.96417,16938
Centre St & Chambers St,40.712732,-74.004607,16900
Meserole Ave & Manhattan Ave,40.72708584,-73.95299117,16886
